id,created_at,name,slug,updated_at,url,checksum,companies,logo,platforms
196,1428606355,FXEngine,fxengine,1428623013,https://www.igdb.com/game_engines/fxengine,1d12c4ed-6b5f-55a5-3d1c-9559d3e3a83d,,,
381,1472653621,Valhalla,valhalla,1512947688,https://www.igdb.com/game_engines/valhalla,19bc39b0-39c1-76cf-cf6f-62013e97a503,,,
1163,1610064000,MechWarrior 2,mechwarrior-2,1610064000,https://www.igdb.com/game_engines/mechwarrior-2,08f3014a-d8a7-3464-ead4-7a6b2051d7c4,,,
409,1480055965,GameSalad,gamesalad,1709547305,https://www.igdb.com/game_engines/gamesalad,4cb4f848-c8bd-2060-9846-5b2e83571785,,,
386,1473752898,Whale 2,whale-2,1473754395,https://www.igdb.com/game_engines/whale-2,3337841a-c65d-72ae-9a8b-092e8b27878c,,,
105,1414864284,Essence Engine,essence-engine,1673472153,https://www.igdb.com/game_engines/essence-engine,81cb6ed1-4c3d-8597-d2a2-15b41508c197,,,
1053,1597234015,M.U.G.E.N,mugen,1687134837,https://www.igdb.com/game_engines/mugen,139054a8-7afa-e81f-d226-08a0e401390a,,,
390,1473932994,Alan Wake engine,alan-wake-engine,1716921043,https://www.igdb.com/game_engines/alan-wake-engine,a9cf9f7a-d8c6-f27f-b03c-b850d4b56891,,,
675,1554848539,Thorskan Engine,thorskan-engine,1643735131,https://www.igdb.com/game_engines/thorskan-engine,4336ed15-144d-1fae-c340-9b88f3496287,,,
600,1538706558,WangReal Engine,wangreal-engine,1616662552,https://www.igdb.com/game_engines/wangreal-engine,e8e71a52-6f3e-dba3-d180-244878cd26d0,,,
67,1408132563,MAX-FX,max-fx,1717705864,https://www.igdb.com/game_engines/max-fx,d9a2b9ea-7d3f-3f7b-a641-a7b889022482,,,
157,1421045496,GAIA,gaia,1617640157,https://www.igdb.com/game_engines/gaia,881a85e9-b4c4-3693-e54f-79ce2c077a71,,,
1067,1598926859,Text Adventure Development System (TADS),text-adventure-development-system-tads,1710190038,https://www.igdb.com/game_engines/text-adventure-development-system-tads,0f42e88c-0b2d-0988-5f5b-18c5e7e60bbc,,,
211,1428781749,Dragonfly,dragonfly,1428783202,https://www.igdb.com/game_engines/dragonfly,dbecb516-3aee-deef-0f46-3678841ec204,,,
478,1498214432,a000ff,a000ff,1500038608,https://www.igdb.com/game_engines/a000ff,4f7c5cd7-0aef-bc2b-8055-5578c3b1fcf2,,,
