genres,first_release_date,name,slug,itad_id,release_price
"[8, 9, 15, 32, 33]",2018-10-11,Joggernauts,joggernauts,018d937f-0c7d-72d0-aa7a-cce89b3a0c90,14.99
"[9, 12, 31, 32]",2018-04-03,Minit,minit,018d937f-278b-70cd-9886-3f0615ac2d5c,9.99
"[9, 31]",2016-09-22,In Fear I Trust,in-fear-i-trust,018d937e-ffc5-7152-8d6f-33f59805f699,6.99
"[15, 26]",2011-02-08,You Don't Know Jack,you-don-t-know-jack,018d937f-19dd-7138-9196-fc63c332ad3d,19.95
"[11, 15, 24]",2003-06-04,Blitzkrieg,blitzkrieg,018d937f-1583-719f-b3ca-2a823d832928,19.95
"[13, 15]",2006-10-17,Sid Meier's Railroads!,sid-meiers-railroads,018d937e-f4d7-7087-b8f9-3e7dc4a28a38,29.99
"[13, 15, 32]",2014-05-08,1849: Gold Edition,1849-gold-edition,018d937f-0a66-7236-a9bf-353842965551,14.99
[12],2018-08-16,Swords of Legends Online,swords-of-legends-online,018d937f-4ebf-72ae-b3af-8b134f5c5e5e,39.99
"[12, 13, 15, 24]",2019-12-03,Phoenix Point,phoenix-point,018d937f-3128-73c4-9667-9492e740780c,39.99
"[12, 32]",2010-04-22,Breath of Death VII,breath-of-death-vii,018d937f-3416-71a6-85e2-d4303e2d9b88,2.99
"[31, 34]",2009-10-15,Steins;Gate,steins-gate,018d937f-17aa-71a9-bce1-95081f2c8fa6,34.99
"[5, 8, 32, 33]",2024-03-13,Llamasoft: The Jeff Minter Story,llamasoft-the-jeff-minter-story,018d937f-79b1-70cb-b00a-1981bb7f1936,29.99
"[9, 12, 24, 31, 32]",2021-02-24,HellSign,hellsign,018d937f-29da-7104-b440-710180a57732,19.99
"[2, 9, 31, 32]",2017-03-30,Thimbleweed Park,thimbleweed-park,018d937f-2eb2-71c0-b0d7-f3f9e3ae0f29,25
"[2, 9, 31, 32]",2014-01-28,Broken Age,broken-age,018d937f-179d-70dc-95e3-6ea9cb60f7f6,24.99
"[8, 9, 31, 32]",2021-10-07,The Lightbringer,the-lightbringer,018d937f-4eba-73a5-8eb7-0103434acfb8,14.99
[8],2012-09-20,Rayman Jungle Run,rayman-jungle-run,018d937f-00c9-72d7-8cf6-ee553a7de3c0,2.99
"[5, 15, 31, 32, 33]",2015-03-01,Cosmochoria,cosmochoria,018d937f-1eb8-73e3-8635-4a304708bb30,9.99
"[5, 9]",2009-12-10,PixelJunk Shooter,pixeljunk-shooter,018d937f-0440-7264-89fc-2eb67b14ce62,8.99
"[31, 32]",2017-09-01,Greedy Guns,greedy-guns,018d937f-1956-7143-b554-ac2ba6912d68,14.99
"[12, 13, 31, 32]",2012-11-02,The Good Life,the-good-life,018d937e-f076-7048-9b4e-b2c101930dd5,19.99
[31],2019-03-08,The Wizards: Enhanced Edition,the-wizards-enhanced-edition,018d937f-1f42-7317-963a-a1b28aae9a96,24.99
"[13, 14, 15]",2015-11-13,Football Manager 2016,football-manager-2016,018d937f-0e98-70d5-bb32-80d04c0e682c,49.99
"[5, 12, 32]",2014-10-23,Ziggurat,ziggurat,018d937f-00e9-72b4-8707-11fec108a038,11.99
"[5, 32]",2022-09-19,Hyper Demon,hyper-demon,018d937f-64d1-711d-8de6-eb62fd04a206,14.99
[31],2021-08-31,Beyond Mankind: The Awakening,beyond-mankind-the-awakening,018d937f-4956-70ef-91ce-1b992aa68763,19.99
"[15, 32]",2016-01-22,Death by Game Show,death-by-game-show,018d937f-1195-7227-82ca-ba9e15d02d8e,14.99
"[9, 31, 32]",2020-10-20,Amnesia: Rebirth,amnesia-rebirth,018d937f-3ebb-73ab-89a3-519da3e0980c,29.99
"[5, 15, 31]",2000-06-01,Evolva,evolva,018d937f-278c-71f6-bd89-3a7bdbe5bfe2,5.99
"[2, 31, 32]",2019-04-26,The Death of Erin Myers,the-death-of-erin-myers,018d937f-2b83-7102-93da-31603e33a465,1.99
"[12, 15, 16, 35]",2001-11-12,Etherlords,etherlords,018d937e-fd1a-7384-a528-768c43bdcbf7,5.99
"[8, 31]",2009-07-21,G-Force,g-force,018d937f-30c5-713f-a6c1-29b0f3f8644f,19.99
"[12, 31]",2015-05-28,Serpent in the Staglands,serpent-in-the-staglands,018d937f-33f5-708b-bc40-3528686dc51b,19.99
"[5, 31]",2021-07-28,Madness Beverage,madness-beverage,018d937f-5ab2-71a7-9074-d765081f78ac,14.99
"[4, 5, 32, 33]",2019-01-21,The Hong Kong Massacre,the-hong-kong-massacre,018d937e-fdf7-7398-9af9-c22e5dddecf8,19.99
"[12, 15, 31, 32]",2017-04-19,Man O' War: Corsair - Warhammer Naval Battles,man-o-war-corsair-warhammer-naval-battles,018d937f-1615-73d2-90da-9b3411668c12,29.99
[5],2000-09-20,Star Trek: Voyager - Elite Force,star-trek-voyager-elite-force,018d937f-55a6-72a1-9133-fde8c75fcd3a,9.99
